 loss val_loss
0 0.3773 0.4054
1 0.1539 0.4256
2 0.1416 0.4372
3 0.1369 0.2934
4 0.1333 0.1693
5 0.1308 0.1381
6 0.1291 0.1239
7 0.1279 0.1328
8 0.1267 0.1301
9 0.1263 0.1250
10 0.1249 0.1235
11 0.1238 0.1218
12 0.1207 0.1161
13 0.1187 0.1163
14 0.1165 0.1160
15 0.1153 0.1126
16 0.1144 0.1126
17 0.1135 0.1165
18 0.1154 0.1148
19 0.1141 0.1118
20 0.1138 0.1123
21 0.1127 0.1118
22 0.1127 0.1133
23 0.1127 0.1121
24 0.1119 0.1116
25 0.1120 0.1118
26 0.1114 0.1117
27 0.1113 0.1121
28 0.1114 0.1114
29 0.1115 0.1118
30 0.1121 0.1116
31 0.1118 0.1119
32 0.1111 0.1119
33 0.1109 0.1116
34 0.1111 0.1112
35 0.1117 0.1119
36 0.1110 0.1118
37 0.1108 0.1113
38 0.1108 0.1114
39 0.1110 0.1114
40 0.1109 0.1116
41 0.1106 0.1112
42 0.1104 0.1114
43 0.1104 0.1112
44 0.1103 0.1118
45 0.1107 0.1122
46 0.1106 0.1114
47 0.1108 0.1113
48 0.1103 0.1120
49 0.1104 0.1117
50 0.1103 0.1113
51 0.1104 0.1115
52 0.1100 0.1114
53 0.1099 0.1114
54 0.1101 0.1111
55 0.1102 0.1113
56 0.1101 0.1113
57 0.1098 0.1115
58 0.1103 0.1132
59 0.1104 0.1116
60 0.1102 0.1116
61 0.1105 0.1119
62 0.1108 0.1112
63 0.1103 0.1113
64 0.1101 0.1126
65 0.1100 0.1113
66 0.1095 0.1111
67 0.1102 0.1115
68 0.1098 0.1121
69 0.1099 0.1112
70 0.1098 0.1117
71 0.1095 0.1111
72 0.1095 0.1115
73 0.1094 0.1116
74 0.1096 0.1114
75 0.1094 0.1118
76 0.1098 0.1123
77 0.1095 0.1113
78 0.1094 0.1114
79 0.1096 0.1114
80 0.1097 0.1116
81 0.1092 0.1120
82 0.1094 0.1118
83 0.1101 0.1124
84 0.1097 0.1111
85 0.1099 0.1115
86 0.1094 0.1112
87 0.1095 0.1112
88 0.1096 0.1113
89 0.1092 0.1108
90 0.1093 0.1118
91 0.1093 0.1110
92 0.1090 0.1110
93 0.1090 0.1111
94 0.1092 0.1108
95 0.1095 0.1122
96 0.1095 0.1107
97 0.1093 0.1118
98 0.1092 0.1112
99 0.1091 0.1111
100 0.1091 0.1111
101 0.1099 0.1120
102 0.1093 0.1118
103 0.1099 0.1123
104 0.1100 0.1112
105 0.1102 0.1108
106 0.1096 0.1110
107 0.1092 0.1111
108 0.1089 0.1109
109 0.1088 0.1116
110 0.1090 0.1111
111 0.1092 0.1112
112 0.1094 0.1112
113 0.1091 0.1110
114 0.1089 0.1118
115 0.1087 0.1118
116 0.1088 0.1111
117 0.1087 0.1109
118 0.1091 0.1108
119 0.1089 0.1114
120 0.1090 0.1108
121 0.1092 0.1108
122 0.1085 0.1106
123 0.1086 0.1114
124 0.1081 0.1107
125 0.1090 0.1112
126 0.1089 0.1110
127 0.1088 0.1109
128 0.1084 0.1107
129 0.1083 0.1127
130 0.1103 0.1111
131 0.1095 0.1110
132 0.1093 0.1131
133 0.1181 0.1187
134 0.1165 0.2210
135 0.1238 0.1169
136 0.1138 0.1121
137 0.1118 0.1121
138 0.1111 0.1118
139 0.1109 0.1118
140 0.1108 0.1116
141 0.1106 0.1115
142 0.1103 0.1116
143 0.1101 0.1116
144 0.1101 0.1117
145 0.1098 0.1115
146 0.1103 0.1120
147 0.1101 0.1134
148 0.1103 0.1119
149 0.1098 0.1118
150 0.1098 0.1125
151 0.1099 0.1120
152 0.1099 0.1114
153 0.1095 0.1121
154 0.1097 0.1117
155 0.1099 0.1117
156 0.1102 0.1119
157 0.1096 0.1117
158 0.1100 0.1119
159 0.1098 0.1113
160 0.1093 0.1119
161 0.1090 0.1117
162 0.1083 0.1107
163 0.1086 0.1105
164 0.1084 0.1120
165 0.1088 0.1104
166 0.1085 0.1130
167 0.1091 0.1103
168 0.1092 0.1132
169 0.1109 0.1118
170 0.1104 0.1120
171 0.1096 0.1106
172 0.1094 0.1111
173 0.1093 0.1107
174 0.1091 0.1097
175 0.1081 0.1109
176 0.1083 0.1083
177 0.1080 0.1150
178 0.1114 0.1123
179 0.1100 0.1104
180 0.1095 0.1100
181 0.1083 0.1092
182 0.1085 0.1127
183 0.1091 0.1089
184 0.1079 0.1070
185 0.1072 0.1077
186 0.1074 0.1135
187 0.1099 0.1103
188 0.1082 0.1129
189 0.1097 0.1098
190 0.1077 0.1082
191 0.1063 0.1070
192 0.1074 0.1088
193 0.1071 0.1060
194 0.1067 0.1069
195 0.1058 0.1089
196 0.1065 0.1112
197 0.1062 0.1094
